	src	tgt
0	뭔가 해보자!	¡Intentemos algo!
1	자야 합니다.	Tengo que irme a dormir.
2	자야 합니다.	Tengo que dormir.
3	뭐해?	¿Qué estás haciendo?
4	그것은 무엇입니까?	¿Qué es eso?
5	오늘은 6월 18일, Muiriel의 생일입니다!	¡Hoy es 18 de junio y es el cumpleaños de Muiriel!
6	생일 축하해 Muiriel!	¡Feliz cumpleaños, Muiriel!
7	Muiriel은 지금 20살입니다.	Ahora, Muiriel tiene 20 años.
8	Muiriel은 지금 20살입니다.	Muiriel ahora tiene 20 años.
9	"비밀번호는 ""Muiriel"" 입니다."	"La contraseña es ""Muiriel""."
10	곧 돌아올께요.	Volveré pronto.
11	모르겠어요.	No sé.
12	이건 절대 끝나지 않을거야.	Esto no acabará nunca.
13	뭐라고 말해야 할지 정말 모르겠어...	Simplemente no sé qué decir...
14	나는 산에 있었어.	Yo estaba en las montañas.
15	이 사진 최근 거에요?	¿Es una foto reciente?
16	시간 있는지 잘 모르겠어요.	No sé si tengo tiempo.
17	이 세상의 교육이 나를 실망시켜요.	La educación en este mundo me decepciona.
18	저는 하루에 100유로를 법니다.	Gano 100 € al día.
19	왜냐하면 당신은 혼자가 되고 싶지 않기 때문이에요.	Eso es porque no quieres estar solo.
20	보고 싶어.	Te echo de menos.
21	당신 좀 자야겠어요.	Deberías dormir.
22	나는 갈 거에요.	Voy a ir.
23	유감스럽게도 사실이네요.	Desafortunadamente es verdad.
24	유감스럽게도 사실이네요.	Lamentablemente es verdad.
25	정말이에요?	¿Estás seguro?
26	일어났을 때 슬펐어.	Cuando me desperté estaba triste.
27	혼자인 사람은 다른 사람들을 두려워하기 때문에 혼자다.	Todas las personas que están solas, están solas porque tienen miedo de los demás.
28	일본에 갈 수 있었으면 좋겠어요.	Deseo poder ir a Japón.
29	일본에 갈 수 있었으면 좋겠어요.	Sería bueno si pudiera ir a Japón.
30	사람 많은 게 싫어요.	Odio cuando hay mucha gente.
31	자야겠어요.	Me tengo que ir a la cama.
32	오늘은 더 이상 물어보지 않겠어요.	No te preguntaré más por hoy.
33	그가 사과를 했음에도 불구하고, 난 아직 화가 나 있어요.	Aunque él se disculpó, aún estoy enojada.
34	그가 사과를 했음에도 불구하고, 난 아직 화가 나 있어요.	Aunque se haya disculpado, sigo estando enojado.
35	아는분이 없을겁니다.	Nadie sabrá.
36	아는분이 없을겁니다.	No habrá ningún conocido.
37	해결책을 찾았지만 너무 빨리 찾아서 맞는 답이 아닌거 같습니다.	Encontré una solución, pero la encontré tan rápido que no puede ser la correcta.
38	해결책을 찾았지만 너무 빨리 찾아서 맞는 답이 아닌거 같습니다.	Encontré una solución, pero la encontré tan rápido que parece no ser la respuesta correcta.
39	무엇이 문제입니까?	¿Dónde está el problema?
40	무엇이 문제입니까?	¿Cuál es el problema?
41	더이상 어떻게 해야할지 모르겠어.	Ya no sé qué hacer.
42	더이상 어떻게 해야할지 모르겠어.	Últimamente no se qué es lo que debo hacer.
43	나는 언젠가는 프랑스에 꼭 가야되는데, 그게 언제인지는 모르겠어.	Es inevitable que yo vaya a Francia algún día, sólo que no sé cuándo.
44	아무나 할 수 있는 것이 아닙니다.	No es algo que pueda hacer cualquiera.
45	모두가 너를 만나고 싶어해, 너 유명하네!	Todos quieren conocerte. ¡Eres famoso!
46	왜 안되는지 설명할려면 시간 너무 많이 걸리겠다.	Me llevaría demasiado tiempo explicarte por qué no va a funcionar.
47	"작고 흰 토끼는 ""무슨 일 있니?"" 라고 물어봤습니다."	—¿Qué pasa? —preguntó el pequeño conejo blanco.
48	히로시는 이것 재미 있을 것 같다고 말한다.	—Esto parece muy interesante —dice Hiroshi.
49	히로시는 이것 재미 있을 것 같다고 말한다.	Hiroshi dice que esto parece que será interesante.
50	우리가 가든지 안 가든지는 네가 결정해.	Depende de ti decidir si vamos allí o no.
51	저는 남은 인생을 그것에 대해 후회하면서 지내고 싶지 않아요.	No quiero pasarme el resto de mi vida arrepintiéndome de ello.
52	나는 꿈이 있어.	Tengo un sueño.
53	놀라워 하고, 궁금해 하는 것이 이해의 시작이다.	Sorprenderse, extrañarse, es comenzar a entender.
54	그러나 우주는 무한하다.	No cabe duda de que el universo es infinito.
55	한가지만 빼면 그녀는 완벽해요.	Para ser perfecta sólo le faltaba un defecto.
56	그러나, 그 반대도 또한 항상 진실이다.	Y sin embargo, también lo contrario es siempre verdadero.
57	그 모습 그대로 사물을 보지 않고, 우리 자신의 모습으로 그것을 바라본다.	No vemos las cosas según son, sino según somos.
58	이 세상은 미치광이들의 소굴이다	El mundo es una jaula de locos.
59	너 멍청하게 보여.	Te ves raro.
60	난 쇼핑 가야되요, 한 시간 안에 돌아올게요.	Tengo que ir de compras, estaré de vuelta en una hora.
61	이탈리아는 아주 아름다운 나라입니다.	Italia es un país muy bonito.
62	바라는 것이 없으면 부족함이 없다.	No desear es lo mismo que poseer.
63	당신이 내일 아침에 일어나서 우주가 사라졌다는 것을 알게 된다면 수학은 당신이 계속해서 연구할 수 있는 과학의 한 부분입니다.	Matemática es la parte de la ciencia que podrías continuar haciendo si despertaras mañana y descubrieras que el universo se ha ido.
64	나 머리 아파.	Me duele la cabeza.
65	나를 그런면에서 몰랐다면 나를 완전히 모르는거야.	Si no sabes eso de mí, entonces no me conoces completamente.
66	저는 항상 바빠요.	Siempre estoy ocupado.
67	저는 항상 바빠요.	Siempre estoy ocupada.
68	효고 대학생입니다.	Soy estudiante de la universidad Hyogo.
69	사랑해요.	Te quiero.
70	이것이 고기 들어가요?	¿Contiene carne esta comida?
71	그는 문제 (를) 제기했다.	El elevó un problema.
72	외국어 습득에는 인내가 필요하다.	Adquirir un idioma extranjero requiere paciencia.
73	그는 7월 초에 런던으로 향했다.	Él se dirigió hacia Londres a principios de julio.
74	나는 그의 모자가 싫다.	No me gusta su sombrero.
75	만약 내가 지금 그 일을 하지 않으면, 영영 못 할것이다.	Si no lo hago ahora, nunca lo haré.
76	안녕하세요.	Buenas tardes.
77	안녕하세요.	Buenos días.
78	안녕하세요.	Buenas noches.
79	나는 자주 버스에서 졸다가 내릴 정류장을 지나쳐간다.	Seguido me duermo en el autobús y se me pasa la parada.
80	나는 김밥을 먹고십어요	Quiero comer gimbap.
81	이 CD 는 10 달러 입니다.	Comprar el CD cuesta 10 dólares.
82	비가 내려서 택시를 탔습니다.	Cogí un taxi porque llovía.
83	내친구는 한국어를 공부해요.	Mi amigo estudia coreano.
84	내친구는 한국어를 공부해요.	Mi amiga estudia coreano.
85	오늘 숙제가 너무 많아요.	Hoy tengo mucha tarea.
86	지난 방학 때 뭐 했어요?	¿Qué hiciste las vacaciones pasadas?
87	열쇠를 잃어버렸다.	Perdí la llave.
88	열쇠를 잃어버렸다.	Perdió la llave.
89	바쁘세요?	¿Está usted ocupado?
90	바쁘세요?	¿Está usted ocupada?
91	죽어!	¡Muere!
92	사랑은 사랑을 사랑해요.	El amor ama el amor.
93	여기에 있는 동안 뭘 하고 싶으세요?	¿Qué es lo que quieres hacer mientras estás aquí?
94	그녀는 즐거운 꿈을 꾸었다.	Ella tuvo un sueño agradable.
95	당신이 날 필요하면, 난 어딘가에있을거야.	Si me necesitas, estaré en alguna parte.
96	올림픽은 4 년마다 열린다.	Las olimpiadas se abren cada 4 años.
97	당신은 어디든 가도 돼요.	Tú puedes ir a donde sea.
98	저는 어제 영화를 보러 갔습니다.	Ayer fui a ver películas.
99	저는 어제 영화를 보러 갔습니다.	Ayer fui al cine.
100	실례합니다.	Disculpe.
101	나는 새 차를 살 여유가 없다.	No tengo para comprar carro nuevo.
102	디마는 하룻밤에 25 남자와 자고 그다음에 그들을 죽였다.	Dina durmió con 25 hombres en una noche y después los mató.
103	사랑이 뭐야?	¿Qué es el amor?
104	내 생각엔 그의 제안을 고려해 볼 만하다.	Creo que vale la pena tomar en cuenta su sugerencia.
105	푸에르토리코의 위치를 지도 위에 보여주세요.	Muéstrame en qué parte del mapa está Puerto Rico.
106	재미 있는 제안이야. 그게 좀 고려야겠다.	Una propuesta interesante. Necesitaría razonar sobre ello.
107	우리는 그 사슴의 발자국을 따라갔다.	Seguimos las pistas dejadas por el venado.
108	라자로 자멘호픈 폴란드인이에요.	Lázaro Zamenhof es polaco.
109	너 스타크래프트 진짜잘하더라.	Juegas muy bien StarCraft.
110	나는 캐비아를 먹었다.	Comí caviar.
111	산타 할아버지, 크리스마스 선물로 여자친구를 받고 싶어요	Papá Noel, me gustaría una novia por regalo.
112	여보세요?	¿Bueno?
113	이것은 중국의 부채입니다.	Este es un abanico chino.
114	오늘 밤 하늘에는 별들이 아주 밝게 빛나고 있어.	Esta noche las estrellas brillan con fuerza en el cielo.
115	언어 목록에서 왜 몰타어가 빠졌는가?	¿Por qué falta el maltés en la lista de idiomas?
116	우리 자기 화이팅!	Tú puedes, cielito.
117	힘내요 내가 있잖아요~	¡Ánimo! Estoy aquí, ¿no?
118	사랑이 사랑을 어떻게 사랑할 수 있니?	¿Cómo puede el amor amar al amor?
119	우리는 아직 탄으로 난방을 했다.	Todavía calentábamos con carbón.
120	나는 생각한다, 고로 나는 존재한다.	Pienso, luego existo.
121	여자들은 후진 주차를 잘 못한다고 한다.	Se dice que las mujeres no se pueden estacionar bien en reversa.
122	오스트리아에서는 고속도로 사용을 위해서 통행료를 지불해야 한다.	En Austria, se debe pagar peaje para usar autopista.
123	부모를 공경해야 한다.	Debemos respetar a nuestros padres.
124	너 바보 아냐!	¡Tú no eres tonto!
125	너의 마음을 상하게 하려고 한 것은 아니다.	No era mi intención hacerte daño.
126	실례지만 영어 할 줄 아세요?	Perdone, ¿habla usted inglés?
127	실례지만 영어 할 줄 아세요?	Disculpe, pero ¿habla inglés?
128	나에게 긴 편지를 썼다.	Él me escribió una larga carta.
129	어디에서 태어나셨습니까?	¿Dónde nació?
130	그녀는 얼굴이 빨개졌다.	Ella se puso roja.
131	그녀는 오른쪽 눈이 멀었다.	Ella tiene el ojo derecho ciego.
132	너 어떻게 알게 됐어?	¿Tú cómo supiste?
133	1492년에는 콜럼버스가 아메리카 대륙을 발견했다.	Colón descubrió América en 1492.
134	뛰어라, 네가 할 수 있는 만큼 빨리.	Corre, tan rápido como tú puedas.
135	주목해 주시겠습니까?	¿Me presta su atención, por favor?
136	너는 사실을 직시해야 한다.	Tienes que enfrentarte a la verdad.
137	너는 위트 감각이 좋다.	Tienes sentido del humor.
138	너 손에 무엇을 가지고 있니?	¿Qué tienes en la mano?
139	너는 몇 개의 언어를 말할 수 있니?	¿Cuántos idiomas hablas?
140	다음 사람요!	Siguiente persona, por favor.
141	그것은 완전히 터무니없는 짓이다!	¡Eso es algo totalmente ridículo!
142	2, 4 그리고 6은 짝수이다.	2, 4 y 6 son números pares.
143	카드로 지불할 수 있습니까?	¿Se puede pagar con tarjeta?
144	폭풍이 불 것이라고 생각한다.	Pienso que soplará una tormenta.
145	맛있게 드십시오!	¡Buen apetito!
146	맛있게 드십시오!	¡Buen provecho!
147	나는 1960년 2월 14일에 태어났다.	Nací el 14 de febrero de 1960.
148	그녀는 당황해서 얼굴이 빨개졌다.	Ella se puso roja de vuergüenza.
149	그는 매일 면도한다.	Se rasura todos los días.
150	해는 동쪽에서 떠서 서쪽으로 진다.	El sol sale del este y se pone en el oeste.
151	나는 달에 가고 싶다.	Yo quiero ir a la luna.
152	눈은 햇빛에 녹았다.	La nieve se derritió en el sol.
153	그 호수가 얼어붙었다.	El estanque se congeló.
154	그 호수가 얼어붙었다.	El lago se congeló.
155	과장하지 마!	¡No exageres!
156	당신의 생각은 전적으로 옳습니다.	Tiene toda la razón.
157	오늘은 날씨가 매우 덥다.	Hoy hace mucho calor.
158	오늘이 며칠이지?	¿A qué fecha estamos hoy?
159	오늘이 며칠이지?	¿Qué fecha es hoy?
160	어떻게 그런 일이 발생할 수 있었지?	¿Cómo pudo ocurrir algo así?
161	우리는 오래된 친구들이다.	Somos viejos amigos.
162	위험 부담이 너무 크다.	La carga de riesgo es demasiado grande.
163	고르셨습니까?	¿Ya ha elegido?
164	그것을 의도적으로 했어!	¡Lo hiciste adrede!
165	내가 사방으로 찾았다.	Lo busqué a diestra y siniestra.
166	직업이 무엇입니까?	¿Cuál es su profesión?
167	나중에 보자!	¡Nos vemos!
168	콜럼버스가 아메리카 대륙을 발견했다.	Colón descubrió el continente americano.
169	나는 뉴욕에서 길을 잃었다.	En Nueva York me perdí.
170	나는 소변을 잘 가리지 못하는 좀 바보스런 아이였다.	Yo era un niño tontito que no se daba cuenta de cuándo tenía ganas de orinar.
171	네 시계 맞니?	¿Está bien tu reloj?
172	위 사건에 관하여 원고는 아래의 피 신청인에 대하여 민사소송법 82조에 따라 소송의 인수를 신청합니다.	Con respecto al caso arriba, el demandante, de conformidad con el Código de Procedimiento Civil 82, solicita la aceptación del litigio contra el demandado abajo.
173	어린 나는 그 이야기에 완전히 압도되어 버렸다.	Cuando era chico, fui completamente abrumado por esa historia.
174	다음 관광 여행이 언제예요?	¿Cuándo es el siguiente tour guiado?
175	그렇게 구성없게 굴지 마라!	¡No te portes como un animal!
176	그렇게 구성없게 굴지 마라!	¡No te comportes como un elefante encadenado!
177	그는 위트 감각이 좋다.	Él tiene buen sentido de ingenio.
178	이 범죄사건은 영원히 해결될 수 없었다.	Este caso criminal jamás pudo ser resuelto.
179	당신에게는 진술을 거부할 권리가 있습니다.	Tienes el derecho a rechazar un comunicado.
180	우리는 삼촌의 방문을 기쁜 마음으로 기다리고 있다.	Esperamos la visita de nuestro tío con el corazón alegre.
181	그는 왼팔을 부러뜨렸다.	Él se rompió el brazo izquierdo.
182	너 수영할 수 있니?	¿Puedes nadar?
183	친구는 도서관에 공부하러 와요	Mi amigo ha venido a la biblioteca para estudiar.
184	친구는 도서관에 공부하러 와요	Mi amigo viene a la biblioteca para estudiar.
185	존이 공항에 있어요.	John está en el aeropuerto.
186	토마스한테 전화해요.	Hablo por teléfono con Tomás.
187	한 상자에 얼마예요?	¿A cuánto la caja?
188	주소하고 집 전화 번호를 쓰세요.	Escribe la dirección y el número de teléfono de casa.
189	한국어를 배우고 싶어요.	Quiero aprender coreano.
190	선생님을 만나고 싶어요.	Quiero ver al maestro.
191	중국에 가고 싶었어요	Yo quería ir a China.
192	어디에 가고 싶으세요?	¿Adónde quiere ir?
193	저는 일본어 선생님이 되고 싶어요.	Quiero ser un maestro de japonés.
194	제시카가 노래를 부르고 있었어요.	Jessica estaba cantando una canción.
195	교수님이 전화를 하고 계세요.	El profesor está haciendo una llamada.
196	어머니가 케이크를 만들고 계세요.	Madre está haciendo un pastel.
197	어제는 일찍 일어났어요.	Ayer me desperté temprano.
198	한국말을 배우기가 힘들죠.	Es batalloso aprender coreano, ¿no?
199	집중력이 점차 떨어진다.	Mi concentración gradualmente se disminuye.
200	이리 오십시오.	Venga por aquí.
201	2 곱하기 7의 결과는 14이다.	El resultado de dos por siete es catorce.
202	그는 전화를 기다리고 있다.	Él está esperando la llamada.
203	그는 전화를 기다리고 있다.	Él está esperando una llamada.
204	택시 한 대만 불러 주시겠습니까?	¿Le llamo un taxi?
205	전혀 위험을 감수하지 않으면, 아무 것도 얻을 수 없다.	Si nunca se aceptan riesgos, no se puede obtener nada.
206	신의 존재를 믿니?	¿Crees en la existencia de Dios?
207	그들은 죽은 후의 삶이 있다고 믿는다.	Ellos creen que hay vida después de la muerte.
208	오류를 범하는 것은 인간의 속성이다.	El cometer errores es una cualidad humana.
209	신이 세상을 창조하였다.	Dios creó el mundo.
210	뭐라고?	¿Que qué?
211	형님께선 어떻게 이 먼 길을 오셨습니까?	¿Cómo ha venido usted por este camino tan largo?
212	형님께선 어떻게 이 먼 길을 오셨습니까?	¿Cómo ha venido usted tan lejos?
213	네 개가 어디 있어?	¿Dónde está tu perro?
214	나는 1948년 11월 22일에 태어났다.	Nací el 22 de noviembre de 1948.
215	비가 그쳤다.	Ha parado de llover.
216	비가 그쳤다.	Ha dejado de llover.
217	비가 그쳤다.	Paró de llover.
218	공항에서부터 호텔까지는 거리가 얼마나 됩니까?	¿Cuánta es la distancia desde el aeropuerto hasta el hotel?
219	알파벳은 몇 개의 글자로 되어 있습니까?	¿De cuántas letras se compone el abecedario?
220	나는 로마의 역사에 관한 책을 찾고 있다.	Estoy buscando libros acerca de la historia romana.
221	이 카메라가 어떻게 작동하지?	¿Cómo funciona esta cámara de fotos?
222	문은 자동으로 닫힌다.	La puerta se cierra automáticamente.
223	우리는 3시에 만난다.	Nos veremos a las tres.
224	그녀는 목소리가 아주 좋다.	Ella tiene una voz muy buena.
225	그는 소프라노로 노래부른다.	Él canta soprano.
226	악기 연주할 줄 아세요?	¿Sabe tocar instrumento?
227	매리의 눈에 눈물이 고였다.	Los ojos de Mary lagrimeaban.
228	아무튼 좋았겠다.	De todos modos, ha de haber estado bien.
229	좀더 준비할 시간이 필요해.	Necesitamos un poco más de tiempo para preparar.
230	그렇다면 돌아가야지.	Si es así, hay que regresar.
231	우리가 잘못 들은 거 아닐까?	¿No será que le entramos mal?
232	그녀의 시선을 등 뒤에서 느꼈다.	Sentí su mirada en mi espalda.
233	안녕하세요,예약을 했는데요, 제이름은 카오리 요시카와 입니다. 확인카드는 여기있습니다.	Hola, hice una reservación, mi nombre es Kaori Yoshikawa. Aquí está la tarjeta de confirmación.
234	이 협정은 무기한 존속한다.	Este acuerdo continuará en vigencia indefinidamente.
235	한국에서 무슨 언어를 말해요?	¿Qué idioma se habla en Corea?
236	그사람들이 뭐 해요?	¿Qué hace esa gente?
237	난 그에게 동의하지 않아.	No estoy de acuerdo con él.
238	왜 그 단어를 잊어버렸니?	¿Por qué olvidaste esa palabra?
239	바닷물에 잔잔한 파도가 일어난다.	En el mar salen olas suaves.
240	그 영화가 좋다고 하는 이유는, 예슬적인 측면에서 내용뿐만 아니라, 음악도 좋기 때문이에요.	La razón por la cual digo que la película está buena, no es sólo por el contenido artístico, porque la música también es buena.
241	음악과 영화의 구조가 조화를 이루고 있어요.	La música y la estructura de la película están en armonía.
242	비싼 중국식당에 초대받았어요.	Me invitaron a un restaurante chino que era caro.
243	언제부터 에스페란토를 배웠어요?	¿Desde cuándo aprendes esperanto?
244	다음 주 후에 다시 볼 수 있을 지 아직 몰라요.	Todavía no sé si podremos volver a vernos la semana que viene.
245	그는 선불교에 대한 글을 번역하셨어요.	Él tradujo el texto que se trata sobre el budismo zen.
246	대학원에 진학하려구요.	Quisiera matricularme en la escuela de posgrado.
247	일정은 아래의 첨부파일을 확인해 주십시오.	Respecto al programa, por favor revise el documento adjunto.
248	많은 관심과 참가 바랍니다.	Espero que tengan mucho interés y que participen.
249	여러 모로 바쁘신데도 흔쾌히 도와 주셔서 감사드립니다.	Muchas gracias por estar tan dispuesto a ayudarme estando tan ocupado con tantas cosas.
250	그는 나를 만나서 왔어요.	Él vino a verme.
251	가고 싶어.	Quiero ir.
252	무슨 일이야?	¿Qué pasa?
253	매 한가지다.	Todo es igual.
254	제비 한 마리를 보고 봄이 왔다고 말할 수 없다.	No se puede decir que ha llegado el verano al sólo ver una golondrina.
255	그의 새로운 소설은 읽을만한 가치가 있다.	Su nueva novela es digna de leerse.
256	네가 한 일은 기대에 못 미쳤어.	Tu trabajo no cumplió con nuestras expectativas.
257	이 투명한 액체는 독 성분을 포함하고 있다.	Este líquido transparente contiene ingredientes ponzoñosos.
258	물은 투명하다.	El agua es transparente.
259	그는 처음 헬스클럽에 갔을때는 정말 열심이었지만 몇 달이 지난후 게으름을 피우기 시작했고 결국 관두고 말았다.	Él estaba realmente entusiasmado cuando empezó a ir al gimnasio, pero después de algunos meses le empezó a dar flojera y eventualmente dejó de ir.
260	나의 사촌이 아직 어려서, 그들은 그에게 좀 더 기회를 줬다.	Como mi sobrino aún era joven, ellos le dieron un poco más de oportunidad.
261	나 좀 내버려 둬.	Déjame en paz.
262	그는 게으름 때문에 회사에서 짤렸다.	Él fue echado de la compañía por flojo.
263	내가 피곤한 건 더워서라기 보다 습해서야.	Estoy cansado, más que por hacer calor, por que está humedo.
264	우리 한동안 못 봤지!	No te hemos visto en un tiempo.
265	하루에 몇 번이나 거울을 보나요?	¿Como cuántas veces ves el espejo por día?
266	아이들은 들어올 수 없습니다.	Los niños no pueden entrar.
267	천에 백을 더하면 천백이 된다.	Si le agregas cien a mil, se vuelve mil cien.
268	이건 비밀이에요.	Esto es un secreto.
269	그들은 조각 흉내를 내고 있다.	Ellos imitan a una escultura.
270	일본의 날씨는 영국보다 따듯하다.	El clima de Japón es más cálido que el de Inglaterra.
271	포르투갈은 이웃이 하나 있고 그건 스페인이다.	Portugal tiene sólo un vecino y es España.
272	나는 너의 가장 친한 친구도 가장 나쁜 적도 될 수 있어.	Puedo ser tu mejor amiga o tu peor enemiga.
273	나는 너의 가장 친한 친구도 가장 나쁜 적도 될 수 있어.	Puedo ser tu mejor amigo o tu peor enemigo.
274	그 남자는 자가용이 있다.	Ese hombre tiene su propio carro.
275	그 사람은 동작이 빨라요.	Esa persona reacciona rápido.
276	내 생각에는 이게 가장 좋은 방법 같아.	Me parece que esta es la mejor manera.
277	이 문장은 괜찮은데.	Esta frase está bien.
278	이 문장은 괜찮은데.	¡Pero está bien esta frase!
279	난 마실꺼리를 준비할께.	Prepararé una bebida.
280	티켓은 각각 20엔 입니다.	Cada boleto vale veinte yen.
281	그녀는 스무 살에 선생님이 되었다.	Ella a los veinte años se hizo profesora.
282	우리 중 아무도 그 사람의 의견에 반대하지 않는다.	Ninguno de nosotros está en contra de su idea.
283	나는 역으로 들어오는 기차를 봤다.	Yo vi al tren entrando a la estación.
284	그 케이크는 레몬 맛이 조금 난다.	Ese pastel tiene un saborcito a limón.
285	인간은 이성이 있지만 동물은 없다.	El hombre es lógico pero el animal no.
286	탐에게 돌아오자 마자 전화해 달라고 물어봐 주세요.	Pídele a Tom que me llame tan pronto como regrese.
287	존은 나의 가장 친한 친구야.	Juan es mi mejor amigo.
288	탐은 메리와 뽀뽀하고 싶었지만 시도할 용기가 없었다.	Tom quería besar a Mary, pero no tuvo la osadía de intentarlo.
289	그녀가 돌아오면 나는 떠날거야.	Cuando ella regrese, yo me iré.
290	나는 건축을 얼어있는 음악이라고 부른다.	"Le llamo a la arquitectura, ""música congelada""."
291	그는 존이라는 세례명을 받았다.	"Él recibió el nombre de pila ""John""."
292	소년은 노예로 팔렸다.	El chico fue vendido como esclavo.
293	너 도쿄 타워 본적 없지?	No has visto la Torre de Tokio, ¿no?
294	그는 예를 들어 문제를 설명했다.	Ilustró el problema con un ejemplo.
295	둘 중 하나를 선택하세요.	Elija uno de los dos.
296	이건 사고가 아냐.	Esto no es un accidente.
297	그는 그녀를 다시 만날 정도로 어리석다.	Él es tan tonto como para volver a verla.
298	지금 바빠요.	Ahora estoy ocupado.
299	지금 바빠요.	Ahora estoy ocupada.
300	나는 내년에 중국어를 배우고 싶다.	Quiero aprender chino el año que viene.
301	나는 내년에 중국어를 배우고 싶다.	Yo quiero aprender chino el próximo año.
302	테니스는 재미있다.	El tenis es divertido.
303	당신을 도와줄 수 있는 괜찮은 변호사를 알고 있습니다.	Conozco un buen abogado que puede ayudarlo a usted.
304	그는 작년에 유언장을 썼습니다.	Él escribió su testamento el año pasado.
305	넌 너의 역할을 받아들일 필요가 있어.	Necesitas aceptar tu papel.
306	누가 우릴 보러 버밍험에 와요?	¿Quién va a venir a Birmingham a vernos?
307	전 한국 요리를 좋아해요.	Me gusta la comida coreana.
308	흥! 아무도 내가 만드는 문장을 번역 안하고 있어!	¡Uf! ¡Nadie está traduciendo las oraciones que compongo!
309	김씨는 그 사람보다 두살 더 나이가 많습니다.	El señor Kim es dos años mayor que esa persona.
310	이스마엘이라고 부르세요.	Llámeme Ismael.
311	달걀이 아직 뜨겁다.	Los huevos todavía están calientes.
312	아보카도는 아보카도 나무의 열매입니다.	El aguacate es el fruto del aguacatero.
