	src	tgt
602	그 일은 내일까지 기다려도 돼?	¿Puede esperar hasta mañana?
603	그 일은 내일 해도 돼?	¿Podemos hacerlo mañana?
604	그 일은 내일 해도 돼?	¿Podemos dejarlo para mañana?
605	우리에게 필요한 것이 무엇인지 하나님께서는 아신다.	Dios sabe qué es lo que necesitamos.
606	난 거의 죽을 뻔 했다.	Casi me muero.
607	그는 아무도 그의 안락의자에 못 앉게 할 것이다.	No dejará que nadie se siente en su sillón.
608	내 시계는 네 것과 다르다.	Mi reloj es distinto al tuyo.
609	이런 일에 시간을 낭비하고 싶지 않다.	No quiero desperdiciar mi tiempo en esto.
610	20세기 동안 아프가니스탄이랑 이란은 국가를 여러 번 바꿨다.	Afganistán e Irán cambiaron sus himnos nacionales varias veces en el transcurso del siglo XX.
611	믿는 사람한테 귀신은 실제다.	Los fantasmas son reales para aquellos que creen en ellos.
612	저번달에 그들은 미국에 갔다.	Se fueron a Estados Unidos el mes pasado.
613	식전 요리에는 음료가 제공됩니다.	La entrada incluye una bebida.
614	아침에 무슨 일이 있었니?	¿Qué pasó esta mañana?
615	우리 언니는 날마다 피아노를 친다.	Mi hermana toca el piano cada día.
616	우리 누나는 날마다 피아노를 친다.	Mi hermana toca el piano cada día.
617	우리 여동생은 날마다 피아노를 친다.	Mi hermana toca el piano cada día.
618	그가 충격에서 벗어나는 데는 몇 주 걸렸다.	Tardó varias semanas para recuperarse del choque.
619	톰이 나한테 봉투를 내 생일 때까지 열지 말래.	Tom me dijo que no abriera el sobre hasta mi cumpleaños.
620	어느 걸 사면 좋을 지 몰랐다.	No sabía cuál debía comprar.
621	난 밤새도록 울었다.	Lloré toda la noche.
622	밧줄을 자르기 위한 칼이 필요하다.	Necesito un cuchillo para cortar la cuerda.
623	저는 추가 의견이 있어요.	Tengo un comentario.
624	저는 논평할 말이 있어요.	Tengo un comentario.
625	껌이다.	Es pan comido.
626	시내가 한눈에 보이다.	Se ve toda la ciudad de un vistazo.
627	어떻게 말해요?	¿Cómo se dice?
628	문장에 틀렸거나 어색하다면 꼭 고쳐주시기 바랍니다!	Si hay errores o construcciones extrañas en las oraciones, les pedimos que por favor las corrijan.
629	우리 가족과 함께 즐거운 휴가를 보내고 차 타고 멕시코 전역을 돌아다녔습니다.	Pasé unas maravillosas vacaciones junto con mi familia paseando por todo México en carro.
630	지나간 각 도시의 아름다운 풍경이 볼만 했다.	Valió la pena ver los hermosos paisajes de cada ciudad que pasamos.
631	포포카테페틀 산과 이스타시와틀 산 그리고 성당, 식민건축물, 여러 박물관이 잘 보였기 때문에 도착하자 마자 뿌에블라의 풍경이 얼마나 아름다운지 알 수 있었습니다.	En cuanto llegamos a Puebla se veían los volcanes Popocatépetl e Iztaccíhuatl, las iglesias, los edificios coloniales y varios museos y nos dimos cuenta de cuán maravilloso era su paisaje.
632	다음 날에는 나가지 않고 칙나와판 온천에 가서 거의 하루종일 수영을 했고, 너무 재미 있고 유익한 경험이었습니다.	El siguente día no salimos y pasamos casi todo el día en las aguas termales de Chignahuapan; fue una experiencia única y muy divertida.
633	휴가 마지막 무렵에는 쫌 향수를 느꼈지만 집에 돌아가는 것도 기대했다.	A fines de las vacaciones sentí un poco de nostalgia, pero también estaba emocionado por regresar a casa.
634	해가 질 무렵 높은 데 올라가서 태양이 천천히 내려가는 것을 보고, 따라서 밤의 광장에 놀러갔다.	Al atardecer, subimos a un lugar alto y vimos el sol ponerse lentamente y a continuación fuimos al zócalo de noche.
635	설마 일이 이렇게 될 줄이야.	¿Cómo pudo haber pasado esto?
636	설마 일이 이렇게 될 줄이야.	No puedo creer que haya pasado esto.
637	당근이지.	Naturalmente.
638	이젠 끝장이야!	¡Estoy muerto!
639	제멋에 겨워 밥도 안벅고 날밤을 샌다.	Está tan inmerso en lo suyo que ni come y pasa toda la noche sin dormir.
640	아까 한 말 취소야.	Olvida lo que acabo de decir.
641	맛있긴 뭐가 맛있어?	¿Qué tiene de sabroso?
642	이젠 어쩔 셈이야?	¿Y ahora qué?
643	조심해!	¡Ten cuidado!
644	이 짓이 지겨워 죽겠어.	Esta onda me tiene hasta la madre.
645	모두들 잃어버린 아이를 찾아 보았다.	Todos buscaron al niño extraviado.
646	우리는 집에 가는 중입니다.	Estamos yendo a casa.
647	또한 프랑스의 분위기를 느끼고 싶다.	Y también quiero sentir el ambiente de Francia.
648	왜 그렇게 서둘러?	¿Cuál es la prisa?
649	니 똥 굵다.	Tú mandas.
650	니 똥 굵다.	Tu popó es gruesa.
651	뭐하고 살았냐?	¿Cómo la pasaste?
652	그리스인들은 기원전 7세기에 이탈리아 반도를 발견했다.	Los griegos descubrieron la península italiana en el siglo VII antes de Cristo.
653	나는 행복한 삶을 살고 싶어요.	Yo quiero vivir una vida feliz.
654	보통 영화를 볼 때 팝콘이랑 코카콜라를 먹는데 이번엔 사탕을 먹으려해.	Normalmente como palomitas y tomo Coca cuando veo una película, pero esta vez voy a comer dulces.
655	영화가 나빠도 친구랑 같이 있으니 즐거울 테지.	Aunque esté mala la película, la pasaré bien porque estoy con amigos.
656	인터넷에 의하면 대단히 흥미로울 것 같아.	Según el internet, será muy interesante.
657	영화에서 뭐가 일어나는지는 모르겠지만 친구들이 재미 있대.	No sé qué pase en la película, pero mis amigos dicen que es divertida.
658	다음 주말에 영화관에서 디버전트란 액션 영화를 자막 없이 볼거다.	El próximo fin de semana voy a ver la película de acción 'Divergente' sin subtítulos.
659	나중에 친구랑 같이 영화 보러 갈거다.	Después voy a ir a ver una película con un amigo.
660	쇼핑하기 참 싫지만 힘을 내야겠다!	La neta no me gusta ir de compras, pero ¡tendré que aguantar!
661	곧 사촌의 결혼식이 있어서, 내일 아침에 난 엄마랑 누나랑 같이 웨딩드레스를 사러 가야 돼.	Mañana tengo que salir a comprar un vestido de bodas con mi mamá y hermana ya que pronto será la boda de mi prima.
662	오랫동안 컴퓨터를 하니까 못 자겠다.	Estando en la computadora por tanto tiempo, no creo poder dormir.
663	빨리 스페인어가 늘었으면 좋겠네.	Quiero mejorar mi español rápido.
664	빨리 스페인어가 늘었으면 좋겠네.	¡Qué bueno sería si mi español mejorara rápido!
665	기분이 하루종일 좋았다.	Me sentí bien todo el día.
666	새 급우도 있고 선생님은 아주 재미있고 머리 좋은 사람이다.	Tengo nuevos compañeros y mi maestro es una persona muy lista y divertida.
667	오늘 새로운 수업을 들었는데 저번 수업과 같은 수준으로 들을 수 있다.	Hoy pude tomar una clase nueva al mismo nivel que mi clase anterior.
668	3달전에 학생이 너무 적어서 수업이 없어졌던 거다.	Se canceló la clase hace 3 meses por falta de alumnos.
669	오늘 스페인어 수업을 다시 받게 돼서 너무 기쁜데.	Estoy muy contento hoy de haber podido volver a tomar clases de español.
670	일과를 마칠 때 즈음, 저녁을 만들어 먹고 기타를 쳤다.	Después de terminar mis deberes del día, preparé cena, comí y toqué la guitarra.
671	숙제도 했고 일도 했고 집에 돌아가서 그 다음에 또 도서관에 숙제하러 갔다.	Hice tarea, trabajé y después de haber regresado a casa volví a la biblioteca para terminar la tarea.
672	주말이 너무 바쁠 테니까 보충해 둘 잠이 필요했다.	Como estaré muy ocupado el fin de semana, necesito dormir extra.
673	오랜만에 늦게까지 잤는데.	Hacía mucho que no dormía hasta tarde.
674	휴가를 4주일 보낸 후에 말하기와 쓰기를 유창하게 하지 못하고, 더 많은 연습이 필요하다.	Después de 4 semanas de vacaciones no puedo hablar con fluidez, necesito practicar mucho más.
675	방과 후 음식 찌꺼기 처리기를 바꾸기 위해 수리공을 불렀어.	Después de clases tuve que llamar al reparador para cambiar el triturador de basura.
676	너 바보 아냐!	¡Si serás idiota!
677	나는 임신 4개월이다.	Estoy embarazada de cuatro meses.
678	다음은 누구 차례지?	¿Quién sigue?
679	다음 분 오세요.	El siguiente, por favor.
680	완전 말도 안돼!	¡Eso es totalmente absurdo!
681	1, 3, 5는 홀수이다.	Uno, tres y cinco son números nones.
682	2, 4, 6 등은 짝수이다.	Dos, cuatro, seis, etc. son números pares.
683	카드 돼요?	¿Puedo pagar con tarjeta de crédito?
684	없다.	No hay.
685	축하합니다!	¡Felicidades!
686	5 더하기 3는 8이다.	Cinco más tres es ocho.
687	이 책은 누구 것이지?	¿De quién es este libro?
688	이것은 누구의 책입니까?	¿De quién es este libro?
689	물 좀 가져다 드릴까요?	¿Le traigo un poco de agua?
690	필기구 좀 주시겠습니까?	¿Me daría algo con qué escribir?
691	조금만 주시겠습니까?	¿Me daría un poquito?
692	그것 좀 주시겠습니까?	¿Me pasaría eso ahí?
693	예를 들어 주시겠습니까?	¿Me daría un ejemplo?
694	잠깐만 기다려 주세요.	Espere un momento.
695	종이 한 장만 주시겠습니까?	¿Me daría una hoja de papel?
696	나는 산에 가길 원합니다.	Quiero ir a la montaña.
697	나는 잘 거다.	Voy a dormir.
698	네?	¿Qué?
699	뭐?	¿Qué?
700	왜?	¿Por qué?
701	드세요!	¡Cómalo!
702	잡수세요!	¡Cómalo!
703	먹었어요.	Comí.
704	오해하지 마세요.	No me malentienda.
705	그냥 악몽이었어.	Solo fue una pesadilla.
706	타토에바는 SNS가 아닙니다.	Tatoeba no es una red social.
707	일은 어때?	¿Qué tal el trabajo?
708	톰은 대부분의 흡혈귀와는 달리 관에서 자지 않는다.	Tom no duerme en un ataúd como la mayoría de los vampiros.
709	톰은 대부분의 흡혈귀처럼 관에서 자지 않는다.	Tom no duerme en un ataúd como la mayoría de los vampiros.
710	사랑이 뭐예요?	¿Qué es el amor?
711	끼어 들어서 죄송합니다.	Perdón por meterme.
712	끼어 들어서 죄송합니다.	Perdón por entremeterme.
713	끼어 들어서 죄송합니다.	Perdone la interrupción.
714	방해해서 죄송합니다.	Perdone la interrupción.
715	미안하다고 했잖아요.	Dije que lo lamentaba.
716	미안하다고 했잖아.	Dije que perdón.
717	죄송합니다, 어머니.	Lo lamento, madre.
718	엄마, 미안해요.	Lo siento, mami.
719	늦어서 미안해.	Perdón por llegar tarde.
720	정말 죄송합니다.	De verdad lo lamento.
721	정말 미안해.	De veras lo siento.
722	유감입니다.	Lo lamento.
723	유감입니다.	Qué lástima.
724	죄송합니다.	Lo siento.
725	미안해요.	Lo siento.
726	미안해.	Perdón.
727	너무 걱정하지 마. 잘될거야.	No te preocupes tanto. Saldrá bien.
728	힘내!	¡Ánimo!
729	나도 몰라.	Yo tampoco sé.
730	나도 몰라.	Yo tampoco lo sé.
731	네가 이해가 안돼.	No te entiendo.
732	선생님의 말씀은 이해가 안 됩니다.	No le entiendo.
733	이해가 안돼.	No entiendo.
734	겨울방학은 며칠부터야?	¿Qué día empiezan las vacaciones de invierno?
735	왜 그렇게 생각해?	¿Por qué piensas eso?
736	시험 잘쳐.	Que te vaya bien en el examen.
737	어째서 알고 있는 거야?	¿Cómo es que sabes?
738	불 좀 꺼도 돼?	¿Puedo apagar la luz?
739	불 좀 꺼도 돼?	¿Está bien si apago la luz?
740	전화기 좀 빌려도 돼?	¿Puedo usar tu teléfono?
741	이유를 물어봐도 돼?	¿Se puede preguntar por qué?
742	이유를 물어봐도 돼?	¿Está bien preguntar por qué?
743	이유를 물어봐도 돼?	¿Se vale preguntar por qué?
744	출구는 어디예요?	¿Dónde está la salida?
745	톰한테 답장 왔어?	¿Te llegó la respuesta de Tom?
746	다들 졸리지 않아?	Plebes, ¿no tienen sueño?
747	다들 졸리지 않아?	Chicos, ¿no tenéis sueño?
748	톰은 메리한테 남동생이 있는지 몰랐어.	Tom no sabía que Mary tenía un hermano.
749	생일 축하합니다!	¡Feliz cumpleaños!
750	이것은 DVD이에요.	Esto es un DVD.
751	그거 입어봐도 돼?	¿Puedo probármelo?
752	그거 입어봐도 돼요?	¿Puedo probármelo?
753	제 시간에 오셨네요.	Estás a tiempo.
754	시간맞춰 왔네요.	Estás a tiempo.
755	와, 너 완전 가수같다.	Guau, bien que pareces cantante.
756	이게 와인이야?	¿Esto es vino?
757	이 책을 읽으세요.	Lea este libro.
758	이 책 읽어.	Lee este libro.
759	긴장돼요.	Estoy nervioso.
760	긴장돼요.	Estoy nerviosa.
761	떨려요.	Estoy nervioso.
762	떨려요.	Está temblando.
763	저는 강아지가 정말 좋아요.	A mí me gustan muchísimo los perros.
764	아침식사는 오전 7시에 제공됩니다.	El desayuno se sirve a las siete de la mañana.
765	저도 음악을 좋아합니다.	A mí también me gusta la música.
766	저도 음악이 정말 좋아요.	A mí también me encanta la música.
767	멈춰!	¡Alto!
768	비와?	¿Está lloviendo?
769	그만 해!	¡Ya!
770	서둘러!	¡Date prisa!
771	서둘러!	¡Apurate!
772	뭐 샀어?	¿Qué compraste?
773	춥지 않니?	¿No tienes frío?
774	자고 있어?	¿Estás dormido?
775	와, 눈이다!	Ay, ¡está nevando!
776	넌 내 거야.	Tú eres mío.
777	지금 한가해?	¿Estás libre ahora?
778	신문 어딨어?	¿Dónde está el periódico?
779	뭐에 쓰려고?	¿Para qué lo usarás?
780	이거 톰 꺼야?	¿Esto es de Tom?
781	뭘 보고 있어?	¿Qué estás mirando?
782	벌써 11시야.	Ya son las once.
783	이 노래 알아?	¿Conoces esta canción?
784	여기 자주 와?	¿Vienes aquí seguido?
785	아, 울 것 같아.	Ay, parece que va a llorar.
786	아, 울 것 같아.	Ay, creo que voy a llorar.
787	예약해 놨어.	Hice las reservaciones.
788	예약해 뒀어요.	Hice las reservaciones.
789	터키에 살아요.	Vivo en Turquía.
790	터키에 살아요.	Vive en Turquía.
791	내가 일등이다.	Soy el primer lugar.
792	나 몇 살로 보여?	¿De qué edad me veo?
793	내 열쇠 못봤어?	¿No has visto mis llaves?
794	코트 벗지 그래?	¿Y si te quitas el abrigo?
795	왜 거짓말했어?	¿Por qué mentiste?
796	울지마, 부탁해.	No llores, por favor.
797	의심해서 미안.	Perdóname por dudar.
798	미안, 실수했어.	Perdón, me equivoqué.
799	정말 미안해요.	De verdad lo siento.
800	정말 미안해요.	Lo siento de verdad.
801	내가 도와줄게.	Yo te ayudo.
802	이 국 너무 짜요.	Esta sopa está muy salada.
803	그건 시간 낭비야.	Eso es una pérdida de tiempo.
804	그건 시간 낭비야.	Es una pérdida de tiempo.
805	그녀는 발이 작다.	Ella tiene pies pequeños.
806	조금 춥지 않나요?	¿No tienes un poco de frío?
807	걘 항상 쌀쌀맞아.	Él siempre es muy seco.
808	무슨 얘기 중이야?	¿De qué estás hablando?
809	잃어버린 거 없어?	¿No has olvidado nada?
810	어제 일은 미안해.	Lamento lo de ayer.
811	미안, 잔돈이 없어.	Lo siento, no tengo feria.
812	버스가 다니나요?	¿Hay un autobús que va?
813	포기할 수 없어요.	No se vale rendirse.
814	우린 안에 있어요.	Estamos adentro.
815	우리 안에 들어와 있어.	Estamos adentro.
816	우리 안에 들어와 있어.	Estamos metidos.
817	난 눈이 정말 좋아.	A mí sí que me gusta la nieve.
818	늦어서 죄송합니다.	Disculpe la tardanza.
819	어제 수도가 끊겼다.	Ayer se cortó el agua.
820	점점 추워지고 있다.	Hace cada vez más frío.
821	오늘 저녁밥은 뭐야?	¿Qué hay para cenar esta noche?
822	조금만 더 기다려 줘.	Espera solo un poquito más.
823	오늘은 꽤 쌀쌀한 걸.	Hoy está bastante fresco.
824	지금 이 소리는 뭐지?	¿Qué será ese sonido?
825	너무 무리하지는 마.	No te esfuerces de más.
826	기다리게 해서 미안.	Perdón por hacerte esperar.
827	옷 좀 갈아입고 올게.	Nomás me cambio de ropa y vuelvo.
828	돈 잊지말고 챙겨가.	No olvides llevarte el dinero.
829	어젯밤 일은 미안해.	Lamento lo de anoche.
830	상처줬다면 미안해.	Perdóname si es que te herí.
831	제가 도와드릴게요.	Yo le ayudo.
832	우린 포기할 수 없어.	No nos podemos rendir.
833	몇 번을 반복해야 해?	¿Cuántas veces tengo que repetirlo?
834	이거 정말 기분 좋다.	Esto es tan relajante.
835	이거 정말 기분 좋다.	¡Qué bien se siente esto!
836	책읽는 거 좋아해요.	Me gusta leer libros.
837	나는 열여섯 살입니다.	Tengo dieciséis años.
838	삼성은 큰 회사입니다.	Samsung es una compañía grande.
839	개는 냄새에 민감하다.	Los perros poseen un agudo sentido del olfato.
840	나는 음악듣고 있어. 넌?	Estoy escuchando música. ¿Y tú?
841	반팔인데 춥지 않나요?	Traes manga corta; ¿no tienes frío?
842	나는 영어를 못합니다.	Yo no hablo inglés.
843	나는 영어를 못합니다.	No entiendo inglés.
844	집 칠하는 것을 도와줘!	¡Ayúdame a pintar la casa!
845	저기, 부탁이 있는데요.	Seño, ¿me hace un favor?
846	발음이 나빠서 미안해.	Disculpa la mala pronunciación.
847	무슨 일이 있었던 거야?	Pero ¿qué fue lo que pasó?
848	당신은 나의 것입니다.	Usted es mío.
849	미안하지만, 모르겠어.	Perdón, pero no entiendo.
850	무슨 일인지 얘기해봐.	Cuéntame qué pasa.
851	부끄러워 할 거 없어요.	No hay nada de qué avergonzarse.
852	A와 B의 차이가 뭐예요?	¿Cuál es la diferencia entre A y B?
853	그녀는 임신 8개월이다.	Ella tiene ocho meses de embarazo.
854	짐은 예전의 그가 아니다.	Jim no es lo que solía ser.
855	또 필요없는 걸 사버렸어.	Otra vez compró cosas que no necesitaba.
856	어느 정도 규모의 회사야?	¿De qué tamaño es la compañía?
857	지금 좋아하는 사람 있어?	¿Hay alguien que te guste ahora?
858	난 일어 교사다.	Yo soy profesor de japonés.
859	나는 못 생겼다.	Soy feo.
860	나는 못 생겼다.	Soy fea.
861	최대한 세게 차.	Patea lo más fuerte que puedas.
862	최대한 세게 차세요.	Patee lo más fuerte que pueda.
863	운전 조심하세요.	Conduzca con cuidado.
864	운전 조심하세요.	Maneje con cuidado.
865	안전운전하세요.	Maneje con cuidado.
866	안전운전하세요.	Conduzca con cuidado.
867	이 카메라는 쌉니다.	Esta cámara está barata.
868	좀 더 싸게는 안돼?	¿No me lo dejas más barato?
869	사는 것은 어렵고, 죽는 것은 쉽다.	La vida es dura y la muerte segura.
870	그걸 듣고 안심했어.	Me alivia oír eso.
871	그걸 들으니 안심이 되었어.	Me alivia oír eso.
872	지갑을 잃어버렸어.	Se me perdió la billetera.
873	쓸 수 있어요?	¿Sabes escribir?
874	세계 여성의 날을 축하합니다.	¡Feliz Día Internacional de la Mujer!
875	코가 막혔다.	Tengo la nariz tapada.
876	스포츠는 누구나 좋아한다.	Los deportes a todos les gustan.
877	톰은 사과 심을 쓰레기통에 버렸다.	Tom tiró el corazón de la manzana al bote de basura.
878	빨리 와!	¡Ven rápido!
879	그녀는 그 병을 열 수 없었다.	Ella no podía abrir la botella.
880	가자!	¡Vámonos!
881	가자!	¡Vamos!
882	왜 나야?	¿Por qué yo?
883	너 잠자?	¿Estás dormido?
884	난 몰라.	Yo no sé.
885	자고 있어?	¿Estás durmiendo?
886	축하해!	¡Felicidades!
887	왜 아니야?	¿Por qué no?
888	너 왜 울어?	¿Tú por qué lloras?
889	자고 싶다.	Quiero dormir.
890	잠들었다.	Me dormí.
891	잠들었다.	Se durmió.
892	걔 괜찮아.	Me cae bien.
893	저건 뭐야?	¿Qué es aquello?
894	은행 해요?	¿Está trabajando el banco?
895	창이 열렸다.	La ventana se abrió.
896	나는 몰라요.	Yo no sé.
897	저놈 잡아라!	Atrápalo.
898	저놈 잡아라!	¡Agárralo!
899	저놈 잡아라!	¡Agarren a aquel güey!
900	저는 미국사람 이에요	Soy estadounidense.
901	마시고 싶어요.	Quiero beberlo.
902	마시고 싶어요.	Quiero tomármelo.
903	사랑과 우정 사이에 경계선을 긋는 것은 매우 어려운 일이다.	Es muy difícil dibujar el límite entre amor y amistad.
904	뭐라카노!	¿Pero qué dices?
905	4 곱하기 5는 20이다.	Cuatro veces cinco es veinte.
906	나는 박지성이다.	Yo soy Jiseong Park.
907	그 약은 쓰다.	La medicina sabe amarga.
908	한국말을 공부합니다.	Estudio coreano.
909	네.	Sí.
910	비와.	Llueve.
911	비와.	Está lloviendo.
912	비가 와요.	Está lloviendo.
913	비가 와요.	Llueve.
914	눈이 와요.	Está nevando.
915	공부 해!	¡Estudia!
916	저 고양이가 갈색입니다.	Aquel gato es café.
917	그녀는 자살을 시도했다.	Ella intentó suicidarse.
918	열차는 오후 두시 반에 떠난다.	El tren sale a las dos y media de la tarde.
919	다음 주 발라톤에 갈 거야.	La próxima semana iré al Balaton.
920	나는 그의 장례식에 참석했다.	Asistí a su funeral.
921	우리는 우리가 생각하는 것이다.	Somos lo que pensamos.
922	공부할 방이 없다.	No hay ningún cuarto para estudiar.
923	산책하고 싶어?	¿Te apetece pasear?
924	맥주 하나 더 할래?	¿Te apetece otra cerveza?
925	뭐 먹고 싶어?	¿Qué te apetece comer?
926	딸기가 있는데 너 먹고 싶니?	Tengo fresas, ¿te apetecen?
927	너 산책할래?	¿Te apetece dar un paseo?
928	너 나랑 지금 춤출래?	¿Te apetece bailar conmigo ahora?
929	너 커피 좀 마실래?	¿Te apetece un poco de café?
930	한 바퀴 돌래?	¿Te apetece dar una vuelta?
931	너 산책하고 싶니?	¿Te apetecería dar un paseo?
932	너 어디 가고 싶니?	¿A qué lugar te apetecería ir?
933	운전 조심해.	Maneja con cuidado.
934	오전 내내 공부를 했더니, 지금 피곤하네. 에너지를 보충해야겠어.	He estado estudiando toda la mañana, ahora estoy cansado... necesito energía extra.
935	그가 왜 탁자 밑에 숨어 있지?	¿Por qué se está escondiendo debajo de la mesa?
936	스페인의 아이들은 성탄절이 아니라, 동방 박사의 날에 선물을 받는다.	Los niños españoles no reciben sus regalos el día de Navidad, sino el de los Reyes Magos.
937	이야기를 마저 들어보자.	Escuchemos el resto de la historia.
938	난 이것들이 좋다.	Quiero éstos.
939	누가 읽고 있습니까?	¿Quién lee?
940	그는 큰 책임감을 느낀다.	Él tiene un gran sentido de la responsabilidad.
941	친구는 많을수록 좋아요.	Cuantos más amigos, mejor.
942	뭐해?	¿En qué andas?
943	모르겠어요.	No lo sé.
944	축하해요!	¡Felicidades!
945	톰에겐 아무 문제도 없었다.	A Tom no le pasa nada.
946	그녀가 하는 말을 믿을 수가 없어.	No confío en lo que ella dice.
947	제 이름은 톰입니다.	Mi nombre es Tom.
948	그가 올때 우리는 경기를 시작 할거에요.	Empezaremos el partido cuando llegue.
949	나는 너야.	Soy tú.
950	나는 너야.	Yo soy tú.
951	그는 돈이 없어 보였다.	Parecía que él estaba corto de dinero.
952	요즘 나오는 영화 중에 최악이다.	Esta es la peor película que hay actualmente.
953	소년이 사다리를 잡고 오르기 시작했다.	El chico agarró la escalera y comenzó a subir.
954	나비 빨라.	La mariposa revolotea.
955	몰라.	No sé.
956	안녕! 질 지내?	¡Hola! ¿Cómo estás?
957	응.	Vale.
958	아니.	No.
959	아니!	¡No!
960	잘 자요!	¡Buenas noches!
961	잘 자요.	Buenas noches.
962	왜 안돼?	¿Por qué no?
963	나는 톰이야. 너는?	Yo soy Tom, ¿y tú?
964	나는 톰이야.	Yo soy Tom.
965	나는 인간이야.	Soy un ser humano.
966	나는 인간이야.	Yo soy un ser humano.
967	안녕하세요?	Hola.
968	안녕하세요?	¿Te encuentras bien?
969	왜 우리는 프랑스어를 공부할까요?	¿Por qué estudiamos francés?
970	고마워.	Gracias.
971	고마워!	¡Gracias!
972	안녕!	¡Hola!
973	안녕.	Hola.
974	안녕, 톰.	Hola, Tom.
975	안녕, 톰!	¡Hola, Tom!
976	이 단어는 잘못 번역된 것 같다.	Creo que esta palabra está mal traducida.
977	나는 말을 좋아해.	Me gustan los caballos.
978	한국 사람입니다.	Soy coreano.
979	한국 사람입니다.	Soy coreana.
980	정말 진심이야!	En verdad hablo en serio.
981	우리는 당신의 조언이 필요하다.	Necesitamos tu consejo.
982	난 널 용서한다.	Te perdono.
983	도쿄는 야경이 끝내줘.	La vista nocturna de Tokio es magnífica.
984	그녀는 나를 방해했다.	Ella me interrumpió.
985	나는 아들이 둘 있는데 하나는 도쿄에 있고 다른 하나는 나고야에 있다.	Tengo dos hijos: uno está en Tokio y el otro en Nagoya.
986	일곱 시 반이었다.	Eran las siete y media.
987	스위스는 프랑스와 이탈리아, 오스트리아, 독일 사이에 있다.	Suiza queda entre Francia, Italia, Austria y Alemania.
988	1000 메터는 1 키로메터다	Mil metros son un kilómetro.
989	우리는 여전히 친구사이다.	Todavía somos amigos.
990	타토에바를 통해서 언어를 배울 수 있다.	Usando Tatoeba se pueden aprender idiomas.
991	나는 정교회 신자입니다.	Soy cristiano ortodoxo.
992	나는 정교인입니다.	Soy cristiano ortodoxo.
